263.9,268.1,262.8,256.7,251.5
267.4,268,268.1,265.9,264.4
266.9,266.1,263.3,262.1,264.2
267,262.8,256,257.4,258.9
266.3,256.2,250.7,254,255.5
263.9,250.3,249,251.5,252.6
258.5,248.9,248.8,249.6,250.3
253.4,248.4,249.5,248.8,248.8
246.3,246,248.9,247.7,247
231.2,233.8,236.9,233.4,229.3
222.1,227.2,226.2,223.4,224.8
228.3,228.4,231.8,234.3,240.2
236.5,232.8,237.7,244.4,248.7
246.7,242.8,248.3,251.9,247.2
250,256.8,257.6,253.8,243.3
244.5,250,250,250.9,246.8
234.8,236.9,240.5,245,250.8
225.2,231.8,235,237.3,244
221.3,230.6,230.5,228.9,231
222.2,229.6,223.5,218.1,215.6
222.2,229.6,223.5,218.1,215.6
221.3,230.6,230.5,229,231
225.2,231.7,235,237.4,244
234.8,237,240.5,245.1,250.8
244.5,250.1,250,251,246.9
250,256.7,257.7,253.7,243.3
246.7,242.7,248.3,251.7,247
236.5,232.8,237.7,244.3,248.5
228.3,228.4,231.8,234.2,240.1
222.1,227.2,226.2,223.4,224.7
231.2,233.8,236.9,233.1,229.2
246.3,246,248.9,247.8,247
253.4,248.4,249.5,248.8,248.8
258.5,248.9,248.8,249.6,250.3
263.9,250.3,249,251.4,252.5
266.3,256.2,250.7,253.9,255.3
267,262.8,256,257.2,258.8
266.9,266.1,263.3,261.9,264.1
267.4,268.1,268.1,265.9,264.4
263.9,268.1,262.8,256.8,251.4
